dishid,dishstatus,vendorId,dishname,dishprice
1,FALSE,1,Jefjl,40.62
2,FALSE,2,Crlob,13.58
3,TRUE,3,Ojpcn,88.91
4,TRUE,4,Zvkqo,26.71
5,FALSE,5,Eobrc,63.04
6,TRUE,6,Bpwja,48.05
7,TRUE,7,Sywwh,36.49
8,FALSE,8,Yivqw,55.89
9,FALSE,9,Twrim,33.42
10,TRUE,10,Gffgz,97.14
11,FALSE,11,Bueug,66.98
12,TRUE,12,Svhbn,88.07
13,TRUE,13,Uolfh,97.13
14,TRUE,14,Xipse,75.91
15,TRUE,15,Myksd,9.15
16,TRUE,16,Ziqif,54.11
17,TRUE,17,Npszr,36.31
18,TRUE,18,Quwbb,1.12
19,TRUE,19,Glomi,23.36
20,FALSE,20,Ipczh,47.23
21,TRUE,21,Abiur,17.27
22,FALSE,22,Eziwf,98.31
23,FALSE,23,Zywgk,88.69
24,FALSE,24,Izzbp,96.78
25,FALSE,25,Plzvh,25.66
26,FALSE,26,Kolhu,37.57
27,FALSE,27,Onwfw,69.52
28,TRUE,28,Rspji,56.25
29,TRUE,29,Tqwpf,59.43
30,FALSE,30,Clymq,81.84
31,FALSE,31,Iypcp,21
32,TRUE,32,Nvhjx,75.21
33,FALSE,33,Ocllw,44.41
34,FALSE,34,Igems,78.79
35,TRUE,35,Qvoxo,24.3
36,TRUE,36,Umdvr,43.14
37,FALSE,37,Lsrdt,56.2
38,FALSE,38,Cwhlu,40.62
39,FALSE,39,Mxmmd,11.44
40,FALSE,40,Dfemg,50.86
41,TRUE,41,Ewbbz,29.1
42,TRUE,42,Ufjcl,23.42
43,TRUE,43,Ejoez,56.22
44,FALSE,44,Ubexg,73.71
45,FALSE,45,Wxvjb,50
46,TRUE,46,Wocpb,27.87
47,FALSE,47,Izubj,32.87
48,TRUE,48,Owrhh,79.89
49,FALSE,49,Ucuiz,12.4
50,FALSE,50,Hkpix,37.36
51,TRUE,51,Ymdkr,50.94
52,TRUE,52,Httsv,22.62
53,TRUE,53,Gnpta,51.55
54,TRUE,54,Gerqi,77.68
55,FALSE,55,Jngpu,24.24
56,TRUE,56,Mvlqb,82.64
57,FALSE,57,Yliqa,75.69
58,TRUE,58,Xklso,52.27
59,FALSE,59,Ikxrp,9.19
60,FALSE,60,Batdk,2.98
61,FALSE,61,Lmdgd,28.36
62,FALSE,62,Itwby,80.3
63,TRUE,63,Qtrlp,56.21
64,FALSE,64,Ulmgw,44.84
65,TRUE,65,Butkh,12.27
66,FALSE,66,Vbrnx,10.75
67,TRUE,67,Erhpt,40.45
68,TRUE,68,Mktle,53.79
69,FALSE,69,Ualsd,90.48
70,FALSE,70,Ylncq,9.94
71,TRUE,71,Umbvz,52.94
72,FALSE,72,Hibfd,74.39
73,FALSE,73,Nxask,46.43
74,TRUE,74,Zmwuc,46.64
75,TRUE,75,Giebz,19.16
76,TRUE,76,Pvjzs,24.37
77,FALSE,77,Btbbd,67.99
78,FALSE,78,Qzfgk,61.84
79,TRUE,79,Qvlun,15.69
80,FALSE,80,Umrkn,4.94
81,FALSE,81,Ewydo,98.65
82,FALSE,82,Tcadv,97.12
83,TRUE,83,Prchq,3.56
84,FALSE,84,Knkvw,83.99
85,TRUE,85,Rghii,75.53
86,TRUE,86,Pknpx,85.69
87,FALSE,87,Odhbq,63.83
88,FALSE,88,Ntvbx,40.24
89,TRUE,89,Tfwbe,38.96
90,FALSE,90,Zkqir,75.23
91,TRUE,91,Wivsi,0.89
92,FALSE,92,Ydrho,12.96
93,TRUE,93,Kmfxd,81.87
94,FALSE,94,Osozk,92.58
95,TRUE,95,Cfdfj,49.8
96,TRUE,96,Ofwjj,62.67
97,TRUE,97,Voada,22.96
98,TRUE,98,Fydjn,97.3
99,TRUE,99,Vucxf,94.92
100,TRUE,100,Fmakc,45.22
101,TRUE,101,Cgyfb,55.33
102,FALSE,102,Sxtda,95.78
103,TRUE,103,Awzzs,12.7
104,FALSE,104,Zjhvp,87.2
105,FALSE,105,Akdyz,18.82
106,TRUE,106,Jhldq,84.27
107,TRUE,107,Ryfhx,93.38
108,FALSE,108,Xjlen,42.34
109,TRUE,109,Gxzpw,94.37
110,TRUE,110,Drqyv,22.39
111,TRUE,111,Xzwvk,31.02
112,TRUE,112,Cvqjy,56.94
113,TRUE,113,Zrouy,98.61
114,FALSE,114,Azthu,25.48
115,TRUE,115,Evlgh,28.34
116,TRUE,116,Ikyjn,9.88
117,TRUE,117,Sfxmd,12.07
118,FALSE,118,Icfjj,81.03
119,FALSE,119,Ycsal,38.06
120,TRUE,120,Sayvs,94.73
121,FALSE,121,Oxojh,75.37
122,TRUE,122,Vjtpk,61.32
123,FALSE,123,Kfpmu,59.57
124,TRUE,124,Wljod,29.09
125,FALSE,125,Sqcaw,75.96
126,FALSE,126,Lsdmx,45.24
