orderid,customerId,vendorId,datecreated,ordertotal,driverid,deliverytype,orderstatus
1,1,1,5/7/20,295.32,1,DELIVERY,FULFILLED
2,2,2,5/20/20,778.04,2,DELIVERY,NOT FULFILLED
3,3,3,4/25/20,716.67,3,DELIVERY,FULFILLED
4,4,4,5/16/20,841.33,4,DELIVERY,FULFILLED
5,5,5,4/26/20,395.45,5,DELIVERY,FULFILLED
6,6,6,4/24/20,885.58,6,DELIVERY,FULFILLED
7,7,7,5/20/20,96.63,7,DELIVERY,FULFILLED
8,8,8,4/22/20,41.33,8,DELIVERY,FULFILLED
9,9,9,5/11/20,682.36,9,DELIVERY,FULFILLED
10,10,10,4/29/20,232.67,10,DELIVERY,FULFILLED
11,11,11,5/17/20,107.38,11,DELIVERY,FULFILLED
12,12,12,5/10/20,509.72,12,DELIVERY,FULFILLED
13,13,13,4/27/20,491.33,13,DELIVERY,FULFILLED
14,14,14,4/26/20,803.99,14,DELIVERY,FULFILLED
15,15,15,5/20/20,288.1,15,DELIVERY,FULFILLED
16,16,16,5/1/20,862.56,16,DELIVERY,FULFILLED
17,17,17,5/17/20,173.31,17,DELIVERY,FULFILLED
18,18,18,5/21/20,367,18,DELIVERY,FULFILLED
19,19,19,4/28/20,735.23,19,DELIVERY,FULFILLED
20,20,20,5/1/20,264.14,20,DELIVERY,FULFILLED
21,21,21,5/20/20,312.05,21,DELIVERY,FULFILLED
22,22,22,5/1/20,497.7,22,DELIVERY,FULFILLED
23,23,23,5/18/20,615.21,23,DELIVERY,FULFILLED
24,24,24,5/5/20,991.01,24,DELIVERY,FULFILLED
25,25,25,5/4/20,454.35,25,DELIVERY,FULFILLED
26,26,26,5/20/20,230.19,26,DELIVERY,FULFILLED
27,27,27,4/24/20,442.94,27,DELIVERY,FULFILLED
28,28,28,4/23/20,550.13,28,DELIVERY,FULFILLED
29,29,29,5/21/20,433.68,29,DELIVERY,FULFILLED
30,30,30,5/20/20,690.59,30,DELIVERY,FULFILLED
31,31,31,5/19/20,599.97,31,DELIVERY,FULFILLED
32,32,32,4/23/20,651.06,32,DELIVERY,FULFILLED
33,33,33,5/13/20,64.5,33,PICKUP,NOT FULFILLED
34,34,34,5/14/20,79.05,34,PICKUP,NOT FULFILLED
35,35,35,5/20/20,754.34,35,PICKUP,NOT FULFILLED
36,36,36,4/25/20,287.61,36,PICKUP,NOT FULFILLED
37,37,37,5/8/20,766.04,37,PICKUP,NOT FULFILLED
38,38,38,5/14/20,127.69,38,PICKUP,NOT FULFILLED
39,39,39,4/25/20,512.22,39,PICKUP,NOT FULFILLED
40,40,40,5/4/20,950.89,40,PICKUP,NOT FULFILLED
41,41,41,5/20/20,861.72,41,PICKUP,NOT FULFILLED
42,42,42,5/3/20,115.33,42,PICKUP,NOT FULFILLED
43,43,43,5/17/20,945.52,43,PICKUP,NOT FULFILLED
