orderid,dishid,quantity,amount
1,1,2,46.63
2,2,4,67.88
3,3,6,11.55
4,4,5,62.16
5,5,4,63.08
6,6,4,89.54
7,7,8,51.57
8,8,9,83.03
9,9,2,5.19
10,10,9,99.19
11,11,7,75.22
12,12,2,64.39
13,13,8,81.12
14,14,8,26.54
15,15,7,90.77
16,16,8,74.76
17,17,5,47.64
18,18,8,80.38
19,19,1,5.74
20,20,8,98.76
21,21,3,63.23
22,22,7,22.09
23,23,6,73.29
24,24,6,48.88
25,25,7,93.93
26,26,6,37.18
27,27,6,13.68
28,28,1,8.15
29,29,6,51.65
30,30,6,7.53
31,31,9,32.22
32,32,3,29.41
33,33,6,85.04
34,34,1,49.95
35,35,9,12.52
36,36,4,41.69
37,37,10,80.17
38,38,5,86.08
39,39,1,42.42
40,40,7,57.32
41,41,5,16.47
42,42,7,11.41
43,43,5,77.3
44,44,7,74.08
45,45,9,68.32
46,46,3,99.33
47,47,8,61.4
48,48,7,68.43
49,49,2,99.63
50,50,5,53.41
51,51,6,20.22
52,52,9,88.08
53,53,4,1.47
54,54,3,41.38
55,55,1,56.61
56,56,10,40.55
57,57,4,94.35
58,58,3,10.61
59,59,8,30.28
60,60,10,95.36
61,61,1,62.21
62,62,2,4.03
63,63,8,28.71
64,64,10,54.73
65,65,10,31.14
66,66,10,88.73
67,67,10,14.88
68,68,9,56.26
69,69,10,44.06
70,70,8,91.69
71,71,3,18.59
72,72,9,96.94
73,73,9,35.97
74,74,9,49.92
75,75,1,81.56
76,76,3,25.57
77,77,2,78.98
78,78,2,47.47
79,79,7,48.54
80,80,2,46.86
81,81,7,74.2
82,82,9,18.91
83,83,4,29.51
84,84,5,92.81
85,85,5,88
86,86,6,7.9
87,87,1,60.29
88,88,10,73.47
89,89,8,37.43
90,90,6,9.36
91,91,10,9.18
92,92,8,26.66
93,93,3,2.93
94,94,4,20.72
95,95,7,92.59
96,96,1,17.16
97,97,5,96.9
98,98,7,86.15
99,99,2,78.44
100,100,1,6.07
101,101,10,24.47
102,102,6,77.58
103,103,1,74.65
104,104,4,16.87
105,105,6,56.68
106,106,10,71.08
107,107,7,88.37
108,108,8,74.6
109,109,5,71.97
110,110,4,42.68
111,111,4,86.33
112,112,10,44.2
113,113,10,90.8
114,114,8,35.42
115,115,4,55.68
116,116,3,0.48
117,117,1,62.27
118,118,2,46.95
119,119,7,39.69
120,120,1,60.08
121,121,3,0.89
122,122,7,33.58
123,123,1,27.27
124,124,7,97.76
125,125,7,7.69
126,126,10,54.93
127,127,2,29.34
128,128,5,95.09
129,129,7,37.32
130,130,2,41.16
131,131,5,97.36
132,132,6,77.31
133,133,3,71.68
134,134,1,80.11
135,135,5,83.54
136,136,6,13.48
137,137,8,87.45
138,138,7,96.05
139,139,3,26.53
140,140,1,71.54
141,141,4,22.72
142,142,4,11.4
143,143,7,6.04
144,144,3,28.19
145,145,4,46.42
146,146,10,24.69
147,147,3,41.33
148,148,10,63.17
149,149,10,67.46
150,150,1,45.12
151,151,4,23.77
152,152,5,56.72
153,153,8,97.82
154,154,1,95.68
155,155,8,61.02
156,156,8,46.84
157,157,4,20.71
158,158,3,73.05
159,159,10,39.17
160,160,3,36.01
161,161,2,36.03
162,162,1,15.37
163,163,8,94.39
164,164,1,4.17
165,165,2,83.14
166,166,5,70.52
167,167,4,48.52
168,168,4,61.99
169,169,10,35.46
170,170,7,33.31
171,171,1,24.24
172,172,6,3.16
173,173,1,22.43
174,174,9,32.45
175,175,9,71
176,176,10,62.77
177,177,1,25.84
178,178,1,52.11
179,179,5,9.78
180,180,6,92.84
181,181,9,83.42
182,182,1,5.04
183,183,10,17.77
184,184,9,65.77
185,185,3,83.58
186,186,5,28.85
187,187,5,67.71
188,188,9,77.47
189,189,10,2.65
190,190,8,0.87
191,191,6,60.61
192,192,8,73.43
193,193,4,28.68
194,194,9,30.5
195,195,1,42.64
196,196,7,80.85
197,197,6,83.73
198,198,6,9.73
199,199,9,32.07
200,200,5,40.12
