zipcode,city,state
14866,Syracuse,New York
89751,Dallas,Texas
72124,Pensacola,Florida
96576,Duluth,Georgia
20888,Los Angeles,California
26295,Lake Worth,Florida
31610,Oklahoma City,Oklahoma
33395,San Francisco,California
55679,Dallas,Texas
52741,Birmingham,Alabama
15804,Minneapolis,Minnesota
54073,Evanston,Illinois
34629,Charleston,South Carolina
13296,Louisville,Kentucky
57077,East Saint Louis,Illinois
29477,Savannah,Georgia
4728,Columbus,Georgia
31180,Lubbock,Texas
40199,Orlando,Florida
27524,Flint,Michigan
97335,Los Angeles,California
75788,Allentown,Pennsylvania
93855,Daytona Beach,Florida
91463,Little Rock,Arkansas
33891,Saint Paul,Minnesota
27740,Spokane,Washington
49127,Detroit,Michigan
59694,Washington,District of Columbia
4054,North Port,Florida
56007,Lima,Ohio
98284,Boulder,Colorado
16579,Boulder,Colorado
13340,Phoenix,Arizona
5321,Huntington,West Virginia
337,Washington,District of Columbia
9689,San Diego,California
37106,Tyler,Texas
53891,Saint Petersburg,Florida
25139,Jacksonville,Florida
56757,Cincinnati,Ohio
31335,Washington,District of Columbia
57110,Des Moines,Iowa
37731,Richmond,Virginia
76224,Torrance,California
9876,Arlington,Texas
88689,Sioux Falls,South Dakota
13107,Albuquerque,New Mexico
70382,Orange,California
4204,Newark,Delaware
13541,Houston,Texas
59315,Bronx,New York
59706,Redwood City,California
32901,Austin,Texas
12818,New York City,New York
8722,Salt Lake City,Utah
57178,Peoria,Illinois
2930,Lexington,Kentucky
98665,Dallas,Texas
16506,Sacramento,California
61761,Louisville,Kentucky
73664,Montgomery,Alabama
39031,Lincoln,Nebraska
5748,Atlanta,Georgia
10848,Reno,Nevada
40428,Buffalo,New York
91338,Springfield,Illinois
14240,Sacramento,California
94413,Peoria,Illinois
5363,Houston,Texas
86874,Tulsa,Oklahoma
45806,Buffalo,New York
86952,Austin,Texas
5092,Buffalo,New York
20459,Erie,Pennsylvania
39910,Seattle,Washington
95163,Syracuse,New York
8755,Columbus,Georgia
93527,Brooklyn,New York
18065,Jefferson City,Missouri
88318,Los Angeles,California
29791,Springfield,Missouri
59147,Miami,Florida
55275,Spokane,Washington
34671,Portland,Oregon
40203,San Jose,California
83540,Peoria,Illinois
65361,Bradenton,Florida
53095,Washington,District of Columbia
80638,Louisville,Kentucky
32851,Atlanta,Georgia
48532,Columbia,South Carolina
94554,Midland,Texas
78504,Omaha,Nebraska
74131,Tampa,Florida
24993,Cincinnati,Ohio
62263,Austin,Texas
16389,Schaumburg,Illinois
91942,New Haven,Connecticut
13471,Oklahoma City,Oklahoma
48654,Wilmington,Delaware
28976,Durham,North Carolina
79326,Salt Lake City,Utah
14521,Wilkes Barre,Pennsylvania
46007,Pittsburgh,Pennsylvania
75996,Saint Petersburg,Florida
93153,Indianapolis,Indiana
33069,Atlanta,Georgia
85701,Berkeley,California
69444,Oklahoma City,Oklahoma
71698,Memphis,Tennessee
96741,Dallas,Texas
6955,Oklahoma City,Oklahoma
92429,Richmond,Virginia
47401,Bismarck,North Dakota
7917,Birmingham,Alabama
70558,Sacramento,California
93840,Hot Springs,Arkansas
38845,Sacramento,California
67320,Oakland,California
97773,Migrate,Kentucky
18432,Gatesville,Texas
39351,El Paso,Texas
43431,Portland,Oregon
14859,Chicago,Illinois
10840,New York City,New York
42087,San Antonio,Texas
52570,Cincinnati,Ohio
32906,Oakland,California
96122,Torrance,California
74261,Bakersfield,California
84803,Chattanooga,Tennessee
83811,Pittsburgh,Pennsylvania
75133,Tallahassee,Florida
61717,Memphis,Tennessee
35016,Seattle,Washington
91034,Alexandria,Virginia
45968,Fort Worth,Texas
54462,Los Angeles,California
51282,Rochester,New York
90221,Charleston,West Virginia
67958,Houston,Texas
85749,Trenton,New Jersey
52867,Cincinnati,Ohio
61466,Albany,New York
20487,Worcester,Massachusetts
63754,Jackson,Mississippi
8082,Buffalo,New York
63640,Providence,Rhode Island
4799,Rochester,New York
12856,Charlotte,North Carolina
73359,Kansas City,Missouri
15737,New York City,New York
72127,Washington,District of Columbia
89621,Columbia,Missouri
19579,Toledo,Ohio
55986,Conroe,Texas
92214,Los Angeles,California
91090,Las Vegas,Nevada
67652,Topeka,Kansas
10377,Orlando,Florida
43556,Englewood,Colorado
7576,Stockton,California
49227,Fresno,California
98386,Springfield,Illinois
66379,Warren,Ohio
17588,Tallahassee,Florida
76106,Tyler,Texas
22584,Santa Fe,New Mexico
31242,Naperville,Illinois
20611,Jacksonville,Florida
37034,Nashville,Tennessee
68854,Mobile,Alabama
9727,Jacksonville,Florida
41547,Los Angeles,California
2444,Dayton,Ohio
65711,Huntington,West Virginia
56356,Waco,Texas
61873,Atlanta,Georgia
41643,Inglewood,California
82803,Amarillo,Texas
72757,Honolulu,Hawaii
47216,Long Beach,California
16852,Oklahoma City,Oklahoma
84691,Cincinnati,Ohio
77465,Saint Paul,Minnesota
1994,Las Vegas,Nevada
73638,Durham,North Carolina
72013,Kansas City,Missouri
79318,Washington,District of Columbia
36356,Boulder,Colorado
88587,Mobile,Alabama
81191,Staten Island,New York
33805,Charlotte,North Carolina
75305,Omaha,Nebraska
36937,Topeka,Kansas
97803,Pasadena,Texas
73560,San Antonio,Texas
33262,Washington,District of Columbia
75873,Huntington,West Virginia
38179,Charleston,West Virginia
